Year,mont,Spirit,Frequence
1906,5,9,0.5555555556
1907,2,23,0.08695652174
1908,7,21,0.3333333333
1909,2,37,0.05405405405
1910,0,20,0
1911,2,40,0.05
1912,2,29,0.06896551724
1913,5,43,0.1162790698
1914,6,43,0.1395348837
1915,4,52,0.07692307692
1916,2,29,0.06896551724
1917,10,55,0.1818181818
1918,1,28,0.03571428571
1919,4,36,0.1111111111
1920,3,25,0.12
1921,1,15,0.06666666667
1922,1,20,0.05
1923,3,29,0.1034482759
1924,3,21,0.1428571429
1925,0,32,0
1926,3,34,0.08823529412
1927,7,42,0.1666666667
1928,3,37,0.08108108108
1929,2,36,0.05555555556
1930,2,25,0.08
1931,5,35,0.1428571429
1932,2,45,0.04444444444
1933,1,21,0.04761904762
1934,1,21,0.04761904762
1935,3,36,0.08333333333
1936,3,23,0.1304347826
1937,5,32,0.15625
1938,4,26,0.1538461538
1939,2,37,0.05405405405
1940,0,37,0
1941,3,53,0.05660377358
1942,4,41,0.09756097561
1943,2,73,0.02739726027
1944,4,70,0.05714285714
1945,4,56,0.07142857143
1946,6,67,0.08955223881
1947,7,57,0.1228070175
1948,7,91,0.07692307692
1949,10,93,0.1075268817
1950,6,87,0.06896551724
1951,12,127,0.09448818898
1952,6,101,0.05940594059
1953,12,94,0.1276595745
1954,13,93,0.1397849462
1955,5,90,0.05555555556
1956,7,114,0.06140350877
1957,7,109,0.06422018349
1958,9,104,0.08653846154
1959,11,100,0.11
1960,4,82,0.0487804878
1961,9,87,0.1034482759
1962,12,118,0.1016949153
1963,9,94,0.09574468085
1964,6,79,0.07594936709
1965,6,111,0.05405405405
1966,16,105,0.1523809524
1967,2,66,0.0303030303
1968,6,82,0.07317073171
1969,20,124,0.1612903226
1970,8,92,0.08695652174
1971,5,70,0.07142857143
1972,2,45,0.04444444444
1973,6,69,0.08695652174
1974,3,87,0.03448275862
1975,2,67,0.02985074627
1976,11,106,0.1037735849
1977,8,94,0.08510638298
1978,9,115,0.07826086957
1979,2,51,0.03921568627
1980,9,78,0.1153846154
1981,8,77,0.1038961039
1982,4,70,0.05714285714
1983,2,50,0.04
1984,2,58,0.03448275862
1985,5,87,0.05747126437
1986,4,72,0.05555555556
1987,1,67,0.01492537313
1988,2,87,0.02298850575
1989,0,53,0
1990,8,86,0.09302325581
1991,4,60,0.06666666667
1992,15,101,0.1485148515
1993,4,52,0.07692307692
1994,4,70,0.05714285714
1995,7,61,0.1147540984
1996,10,80,0.125
1997,3,59,0.05084745763
1998,2,51,0.03921568627
1999,1,35,0.02857142857
2000,11,95,0.1157894737
2001,15,112,0.1339285714
2002,3,81,0.03703703704
2003,3,61,0.04918032787
2004,4,61,0.06557377049
2005,6,52,0.1153846154
2006,3,57,0.05263157895
2007,5,67,0.07462686567
2008,4,29,0.1379310345
2009,16,126,0.126984127
2010,12,69,0.1739130435
2011,7,78,0.08974358974
2012,2,48,0.04166666667
2013,21,67,0.3134328358
2014,6,53,0.1132075472
2015,2,46,0.04347826087