Year,pye,Spirit,Frequence
1906,0,9,0
1907,0,23,0
1908,0,21,0
1909,0,37,0
1910,1,20,0.05
1911,0,40,0
1912,0,29,0
1913,0,43,0
1914,0,43,0
1915,0,52,0
1916,0,29,0
1917,0,55,0
1918,0,28,0
1919,0,36,0
1920,0,25,0
1921,0,15,0
1922,0,20,0
1923,0,29,0
1924,0,21,0
1925,0,32,0
1926,0,34,0
1927,0,42,0
1928,0,37,0
1929,0,36,0
1930,0,25,0
1931,3,35,0.08571428571
1932,0,45,0
1933,0,21,0
1934,0,21,0
1935,0,36,0
1936,0,23,0
1937,0,32,0
1938,0,26,0
1939,0,37,0
1940,0,37,0
1941,0,53,0
1942,0,41,0
1943,0,73,0
1944,0,70,0
1945,0,56,0
1946,2,67,0.02985074627
1947,0,57,0
1948,0,91,0
1949,0,93,0
1950,0,87,0
1951,0,127,0
1952,0,101,0
1953,0,94,0
1954,0,93,0
1955,0,90,0
1956,1,114,0.008771929825
1957,0,109,0
1958,1,104,0.009615384615
1959,0,100,0
1960,0,82,0
1961,1,87,0.01149425287
1962,0,118,0
1963,0,94,0
1964,0,79,0
1965,0,111,0
1966,0,105,0
1967,0,66,0
1968,0,82,0
1969,8,124,0.06451612903
1970,0,92,0
1971,0,70,0
1972,0,45,0
1973,2,69,0.02898550725
1974,6,87,0.06896551724
1975,0,67,0
1976,8,106,0.07547169811
1977,5,94,0.05319148936
1978,0,115,0
1979,0,51,0
1980,0,78,0
1981,0,77,0
1982,0,70,0
1983,0,50,0
1984,1,58,0.01724137931
1985,0,87,0
1986,0,72,0
1987,0,67,0
1988,0,87,0
1989,2,53,0.03773584906
1990,0,86,0
1991,0,60,0
1992,2,101,0.0198019802
1993,0,52,0
1994,4,70,0.05714285714
1995,0,61,0
1996,0,80,0
1997,0,59,0
1998,0,51,0
1999,0,35,0
2000,0,95,0
2001,2,112,0.01785714286
2002,0,81,0
2003,0,61,0
2004,0,61,0
2005,0,52,0
2006,0,57,0
2007,0,67,0
2008,0,29,0
2009,0,126,0
2010,0,69,0
2011,0,78,0
2012,2,48,0.04166666667
2013,0,67,0
2014,0,53,0
2015,1,46,0.02173913043