Year,Weber,Spirit,Frequence
1906,0,9,0
1907,1,23,0.04347826087
1908,0,21,0
1909,1,37,0.02702702703
1910,1,20,0.05
1911,0,40,0
1912,0,29,0
1913,1,43,0.02325581395
1914,0,43,0
1915,0,52,0
1916,0,29,0
1917,0,55,0
1918,0,28,0
1919,0,36,0
1920,0,25,0
1921,0,15,0
1922,0,20,0
1923,0,29,0
1924,0,21,0
1925,1,32,0.03125
1926,1,34,0.02941176471
1927,0,42,0
1928,0,37,0
1929,0,36,0
1930,0,25,0
1931,0,35,0
1932,0,45,0
1933,0,21,0
1934,0,21,0
1935,0,36,0
1936,0,23,0
1937,0,32,0
1938,0,26,0
1939,0,37,0
1940,1,37,0.02702702703
1941,3,53,0.05660377358
1942,0,41,0
1943,0,73,0
1944,1,70,0.01428571429
1945,0,56,0
1946,1,67,0.01492537313
1947,0,57,0
1948,1,91,0.01098901099
1949,0,93,0
1950,0,87,0
1951,0,127,0
1952,0,101,0
1953,0,94,0
1954,0,93,0
1955,0,90,0
1956,0,114,0
1957,0,109,0
1958,2,104,0.01923076923
1959,0,100,0
1960,5,82,0.06097560976
1961,0,87,0
1962,1,118,0.008474576271
1963,1,94,0.01063829787
1964,0,79,0
1965,0,111,0
1966,1,105,0.009523809524
1967,3,66,0.04545454545
1968,0,82,0
1969,3,124,0.02419354839
1970,7,92,0.07608695652
1971,3,70,0.04285714286
1972,0,45,0
1973,1,69,0.01449275362
1974,0,87,0
1975,5,67,0.07462686567
1976,0,106,0
1977,2,94,0.02127659574
1978,24,115,0.2086956522
1979,4,51,0.07843137255
1980,2,78,0.02564102564
1981,1,77,0.01298701299
1982,8,70,0.1142857143
1983,1,50,0.02
1984,3,58,0.05172413793
1985,2,87,0.02298850575
1986,4,72,0.05555555556
1987,7,67,0.1044776119
1988,3,87,0.03448275862
1989,3,53,0.05660377358
1990,1,86,0.01162790698
1991,12,60,0.2
1992,4,101,0.0396039604
1993,4,52,0.07692307692
1994,3,70,0.04285714286
1995,4,61,0.06557377049
1996,7,80,0.0875
1997,7,59,0.1186440678
1998,9,51,0.1764705882
1999,1,35,0.02857142857
2000,5,95,0.05263157895
2001,3,112,0.02678571429
2002,21,81,0.2592592593
2003,5,61,0.08196721311
2004,4,61,0.06557377049
2005,0,52,0
2006,10,57,0.1754385965
2007,1,67,0.01492537313
2008,1,29,0.03448275862
2009,3,126,0.02380952381
2010,3,69,0.04347826087
2011,1,78,0.01282051282
2012,1,48,0.02083333333
2013,2,67,0.02985074627
2014,9,53,0.1698113208
2015,2,46,0.04347826087